Lima | -12.0468 ,-77.0305
Ica | -14.0700 ,-75.7255
Puerto Maldonado | -12.5968 ,-69.1849
Cusco | -13.5146 ,-71.9775
Puno | -15.8392 ,-70.0292
Moquegua | -17.1946 ,-70.9345
Tacna | -18.0138 ,-70.2531
Arequipa | -16.4004 ,-71.5352
Ayacucho | -13.1599 ,-74.2239
Ferreñafe | -6.6391 ,-79.7886
Lambayeque | -6.7018 ,-79.9067
Chiclayo | -6.7730 ,-79.8371
San Pedro De Lloc | -7.4320 ,-79.5044
Julcán | -8.0414 ,-78.4863
Trujillo | -8.1088 ,-79.0308
Santiago De Chuco | -8.1451 ,-78.1758
Cabana | -8.3925 ,-78.0084
Virú | -8.4157 ,-78.7518
Tocache | -8.1893 ,-76.5143
Tayabamba | -8.2764 ,-77.2961
Jesús | -10.0790 ,-76.6304
Chiquián | -10.1512 ,-77.1560
Ocros | -10.4024 ,-77.3957
Cajatambo | -10.4724 ,-76.9926
Yanahuanca | -10.4921 ,-76.5170
Oyón | -10.6685 ,-76.7731
Barranca | -10.7534 ,-77.7603
Huacho | -11.1068 ,-77.6053
Canta | -11.4670 ,-76.6239
Huaral | -11.4943 ,-77.2120
Matucana | -11.8453 ,-76.3857
Lima Cercado | -12.0468 ,-77.0305
Callao | -12.0598 ,-77.1466
Chupaca | -12.0602 ,-75.2893
Huancayo | -12.0697 ,-75.2114
Pampas | -12.3989 ,-74.8720
Yauyos | -12.4596 ,-75.9182
Huancavelica | -12.7878 ,-74.9732
Acobamba | -12.8424 ,-74.5692
Lircay | -12.9836 ,-74.7178
San Vicente de Cañete | -13.0798 ,-76.3864
Castrovirreyna | -13.2842 ,-75.3182
Chincha Alta | -13.4195 ,-76.1330
Huaytara | -13.6045 ,-75.3525
Pisco | -13.7111 ,-76.2018
Chimbote | -9.0675 ,-78.5830
Casma | -9.4763 ,-78.3061
Huarmey | -10.0696 ,-78.1516
Sihuas | -8.5550 ,-77.6318
Corongo | -8.5707 ,-77.8980
Huacrachuco | -8.6072 ,-77.1466
Pomabamba | -8.8215 ,-77.4597
Piscobamba | -8.8656 ,-77.3580
Caraz | -9.0471 ,-77.8117
Yungay | -9.1370 ,-77.7449
Carhuaz | -9.2814 ,-77.6444
Huaraz | -9.5317 ,-77.5270
Aija | -9.7815 ,-77.6088
San Luis | -9.0927 ,-77.3297
Llamellin | -9.1001 ,-77.0156
Chacas | -9.1617 ,-77.3670
Huari | -9.3483 ,-77.1734
Recuay | -9.7191 ,-77.4564
